epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.944459,0.054054,3.846443,0.024457,0.010135,12.043
1,3.458934,0.108108,3.757242,0.027174,0.012086,12.406
2,3.045234,0.297297,3.670765,0.046196,0.02475,11.611
3,2.637212,0.459459,3.590026,0.065217,0.036172,11.385
4,2.251236,0.621622,3.514651,0.086957,0.049694,11.376
5,1.947874,0.864865,3.44186,0.108696,0.070513,11.811
6,1.512203,0.972973,3.375756,0.122283,0.079881,11.288
7,1.317728,1.0,3.315584,0.138587,0.096235,11.281
8,1.129722,1.0,3.260719,0.141304,0.105687,12.142
9,0.93872,1.0,3.211819,0.152174,0.115876,11.737
10,0.806456,1.0,3.166913,0.165761,0.131966,11.319
11,0.653898,1.0,3.127002,0.168478,0.135829,11.464
12,0.542153,1.0,3.093502,0.184783,0.15103,11.595
13,0.459983,1.0,3.062413,0.201087,0.170531,11.57
14,0.341535,1.0,3.037882,0.19837,0.168827,11.39
15,0.307022,1.0,3.015241,0.203804,0.17586,11.399
16,0.252407,1.0,2.99627,0.211957,0.183248,11.439
17,0.221599,1.0,2.978343,0.220109,0.193854,12.537
18,0.179966,1.0,2.96289,0.220109,0.200174,11.236
19,0.170771,1.0,2.949141,0.222826,0.203989,11.389
20,0.153718,1.0,2.938443,0.228261,0.212799,11.688
21,0.120389,1.0,2.928439,0.236413,0.223279,11.333
22,0.11214,1.0,2.918821,0.247283,0.236952,11.189
23,0.097679,1.0,2.911141,0.252717,0.242096,11.757
24,0.087641,1.0,2.904557,0.252717,0.24233,12.42
25,0.079864,1.0,2.897256,0.258152,0.248084,11.359
26,0.076087,1.0,2.892011,0.26087,0.251535,11.827
27,0.065834,1.0,2.885735,0.266304,0.255478,11.552
28,0.061325,1.0,2.879862,0.271739,0.261143,11.892
29,0.061804,1.0,2.875967,0.269022,0.258442,11.677
