epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,1.97569,0.519022,0.995522,0.730978,0.722107,40.134
1,0.662318,0.83122,0.552983,0.866848,0.866962,39.805
2,0.433098,0.888285,0.477114,0.855978,0.851538,40.15
3,0.343428,0.908816,0.426455,0.875,0.874983,39.986
4,0.266314,0.92814,0.45452,0.861413,0.8585,40.494
5,0.240222,0.932669,0.358872,0.877717,0.876926,39.945
6,0.189942,0.951993,0.41288,0.875,0.874246,40.202
7,0.169104,0.953804,0.381,0.883152,0.88209,39.677
8,0.150691,0.958937,0.397756,0.858696,0.857834,40.113
9,0.134464,0.962258,0.414927,0.855978,0.855087,39.417
10,0.114802,0.972826,0.357643,0.891304,0.889813,40.021
11,0.104824,0.976751,0.364082,0.896739,0.896913,40.36
12,0.095449,0.977959,0.370389,0.86413,0.864071,40.087
13,0.091175,0.977355,0.359624,0.877717,0.875713,39.364
14,0.081398,0.978563,0.362849,0.888587,0.887762,39.643
15,0.067131,0.984903,0.338455,0.888587,0.887304,39.791
16,0.077173,0.980374,0.409971,0.861413,0.861198,42.746
17,0.071094,0.982488,0.32382,0.894022,0.893455,41.033
18,0.068012,0.9843,0.372035,0.875,0.872976,39.606
19,0.057515,0.987319,0.33834,0.896739,0.895732,39.704
20,0.060913,0.986413,0.368712,0.869565,0.867839,39.716
21,0.052745,0.987621,0.360996,0.869565,0.865232,39.488
22,0.053518,0.987319,0.366769,0.880435,0.881812,39.959
23,0.055568,0.985205,0.366509,0.894022,0.893912,39.563
24,0.054952,0.987017,0.391425,0.894022,0.894127,39.678
25,0.057211,0.986111,0.365325,0.877717,0.878059,40.089
26,0.064591,0.982186,0.379147,0.888587,0.888962,39.433
27,0.060673,0.983696,0.402724,0.888587,0.887638,39.65
28,0.064883,0.982488,0.389385,0.880435,0.878012,39.76
29,0.055618,0.981582,0.354367,0.894022,0.892904,39.455
