experiment,budget,targets,rank,alpha,dropout,train_classifier,trainable_params,best_epoch,best_val_top1,test_top1,test_macro_f1,training_time_seconds
resnet18_lora_layer3_r4_100_seed42,100%,layer3,4,8,0.05,True,56869,16,0.9157608695652174,0.8795312074134641,0.8773939172745987,1704.96
resnet18_lora_layer3_r4_10_seed42,10%,layer3,4,8,0.05,True,56869,19,0.8206521739130435,0.7871354592532025,0.7850510411517646,569.31
resnet18_lora_layer3_r4_1_seed42,1%,layer3,4,8,0.05,True,56869,29,0.391304347826087,0.4058326519487599,0.38997283959730916,433.19
resnet18_lora_layer4_layer3_r4_100_seed42,100%,layer4+layer3,4,8,0.05,True,132645,8,0.9157608695652174,0.8607249931861543,0.8583132958076696,1752.35
resnet18_lora_layer4_layer3_r4_10_seed42,10%,layer4+layer3,4,8,0.05,True,132645,19,0.8070652173913043,0.7541564458980649,0.7528360666185436,577.42
resnet18_lora_layer4_layer3_r4_1_seed42,1%,layer4+layer3,4,8,0.05,True,132645,20,0.38858695652173914,0.3804851458162987,0.37206077270866483,456.85
resnet18_lora_layer4_r16_100_seed42,100%,layer4,16,32,0.05,True,322085,3,0.8885869565217391,0.8446443172526574,0.8426947530044812,1466.99
resnet18_lora_layer4_r16_10_seed42,10%,layer4,16,32,0.05,True,322085,23,0.7635869565217391,0.7285363859362224,0.7245987609905971,534.38
resnet18_lora_layer4_r16_1_seed42,1%,layer4,16,32,0.05,True,322085,22,0.35054347826086957,0.3507767784137367,0.34305303871816734,438.5
resnet18_lora_layer4_r4_100_seed42,100%,layer4,4,8,0.05,True,94757,14,0.907608695652174,0.8495502861815208,0.8473186420036584,1479.09
resnet18_lora_layer4_r4_10_seed42,10%,layer4,4,8,0.05,True,94757,20,0.7907608695652174,0.7525211229217771,0.7500319109819017,540.01
resnet18_lora_layer4_r4_1_seed42,1%,layer4,4,8,0.05,True,94757,19,0.4048913043478261,0.41101117470700466,0.39961814191372785,441.41
resnet18_lora_layer4_r4_lr1e4_100_seed42,100%,layer4,4,8,0.05,True,94757,29,0.8913043478260869,0.855001362769147,0.8526300919121945,1475.81
resnet18_lora_layer4_r4_lr1e4_10_seed42,10%,layer4,4,8,0.05,True,94757,29,0.5706521739130435,0.5451076587626056,0.5309028152169407,554.39
resnet18_lora_layer4_r4_lr1e4_1_seed42,1%,layer4,4,8,0.05,True,94757,29,0.059782608695652176,0.0776778413736713,0.05387877385215319,455.07
resnet18_lora_layer4_r8_100_seed42,100%,layer4,8,16,0.05,True,170533,11,0.8967391304347826,0.8397383483237939,0.8370012063432108,1463.58
resnet18_lora_layer4_r8_10_seed42,10%,layer4,8,16,0.05,True,170533,25,0.7934782608695652,0.7440719542109566,0.739364081796298,528.78
resnet18_lora_layer4_r8_1_seed42,1%,layer4,8,16,0.05,True,170533,21,0.4048913043478261,0.3783047151812483,0.363567243327421,451.55
resnet18_lora_r16_100_seed42,100%,fc,16,32,0.0,False,8784,22,0.8641304347826086,0.8203870264377214,0.8179858560517455,1296.84
resnet18_lora_r16_10_seed42,10%,fc,16,32,0.0,False,8784,26,0.6467391304347826,0.6514036522213137,0.6497299463191503,511.63
resnet18_lora_r16_1_seed42,1%,fc,16,32,0.0,False,8784,29,0.11956521739130435,0.1452711910602344,0.11238703838670658,433.16
resnet18_lora_r4_100_seed42,100%,fc,4,8,0.0,False,2196,29,0.6277173913043478,0.6077950395203052,0.6046576803348157,1283.0
resnet18_lora_r4_10_seed42,10%,fc,4,8,0.0,False,2196,29,0.23369565217391305,0.20986644862360315,0.17135064169136002,512.04
resnet18_lora_r4_1_seed42,1%,fc,4,8,0.0,False,2196,29,0.03804347826086957,0.05396565821749796,0.03853968294599089,432.41
resnet18_lora_r8_100_seed42,100%,fc,8,16,0.0,False,4392,22,0.8206521739130435,0.7914963205233033,0.7900865337286394,1302.02
resnet18_lora_r8_10_seed42,10%,fc,8,16,0.0,False,4392,28,0.5706521739130435,0.5576451349141456,0.5474844189801512,511.76
resnet18_lora_r8_1_seed42,1%,fc,8,16,0.0,False,4392,29,0.06521739130434782,0.07522485690923958,0.050281754668854095,434.31
